web-scraper-order,web-scraper-start-url,catli,catli-href,subcatli,subcatli-href,sub1,sub1-href,sub2,sub2-href,sub3,sub3-href,sub4,sub4-href,sub5,sub5-href,sub6,sub6-href,sub7,sub7-href,sub8,sub8-href
1595345488-1435,https://www.notino.it,Solari,https://www.notino.it/creme-solari/,,,,,Cura del viso,https://www.notino.it/dermocosmesi/?f=1-1-37171-3645,,,,,,,,,,,,
1595345490-1677,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,,,,,,,,,,,,,,,Prodotti solari per il corpo,https://www.notino.it/creme-solari/?f=1-1-2-52434-3646-52440-52441
1595345500-2223,https://www.notino.it,Viso,https://www.notino.it/prodotti-per-il-viso/,,,,,,,Occhiaie,https://www.notino.it/prodotti-per-le-occhiaie/,,,,,,,,,,
1595345493-1775,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,,,,,,,Rasatura e depilazione,https://www.notino.it/rasatura-e-depilazione-donna/,,,,,,,,
1595345505-2469,https://www.notino.it,Capelli,https://www.notino.it/prodotti-per-capelli/,,,Styling,https://www.notino.it/styling/,,,,,,,,,,,,,,
1595345488-1467,https://www.notino.it,Solari,https://www.notino.it/creme-solari/,,,,,,,Pelle problematica,https://www.notino.it/pelle-problematica/,,,,,,,,,,
1595345493-1742,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,,,Eczema atopico,https://www.notino.it/eczema-atopico/,,,,,,,,,,,,
1595345498-2049,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,,,,,"<img src=""https://cdn.notinoimg.com/images/gallery/spage/N_BodyCare_SprchaAkoupel_20180330_20.png"" width=""200""  height=""200""  alt=""Doccia e bagno""  title=""Doccia e bagno""  />Doccia e bagno",https://www.notino.it/prodotti-per-il-corpo/?f=1-1-2-3646-8088-7191,,,,,,,,,,
1595345498-2105,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,,,,,,,,,Accessori,https://www.notino.it/accessori/,,,,,,
1595345488-1474,https://www.notino.it,Solari,https://www.notino.it/creme-solari/,,,,,,,,,Rasatura e depilazione,https://www.notino.it/rasatura-e-depilazione-donna/,,,,,,,,
